 FILE_NAME
 REACTION
 BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
 NUMBER_OF_DATA_POINTS
 POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
 -------------------------------------------------------------------------------------------------------
 KMN_TOTAL.DAT
 K- N --> X
 0.493680    0.939570      0.            0
  56
 1    0.62700    0.61446    0.63954    26.200     4.9000  4.9000     0.0  0.0  CHAMBERLAIN 62   PR 125, 1696
 2    0.75000    0.73500    0.76500    31.200     4.0000  4.0000     0.0  0.0  CHAMBERLAIN 62   PR 125, 1696
 3    0.80800    0.79184    0.82416    30.000     3.2000  3.2000     0.0  0.0  CHAMBERLAIN 62   PR 125, 1696
 4    0.98000    0.91042    1.04958    31.200     1.6000  1.6000     0.0  0.0  COOK 61          PR 123, 320
 5    0.98400    0.96432    1.00368    40.700     3.2000  3.2000     0.0  0.0  CHAMBERLAIN 62   PR 125, 1696
 6    1.06700    1.04566    1.08834    36.600     2.6000  2.6000     0.0  0.0  CHAMBERLAIN 62   PR 125, 1696
 7    1.23000    1.14267    1.31733    29.400     1.1000  1.1000     0.0  0.0  COOK 61          PR 123, 320
 8    1.48000    1.38380    1.57620    26.400     1.0000  1.0000     0.0  0.0  COOK 61          PR 123, 320
 9    1.73000    1.61755    1.84245    24.300     0.80000 0.80000    0.0  0.0  COOK 61          PR 123, 320
 10   1.95000    1.78620    2.11380    22.700     0.90000 0.90000    0.0  0.0  COOK 61          PR 123, 320
 11   2.48000    2.27168    2.68832    22.600     0.90000 0.90000    0.0  0.0  COOK 61          PR 123, 320
 12   2.97000    2.67894    3.26106    22.400     0.70000 0.70000    0.0  0.0  COOK 61          PR 123, 320
 13   3.00000    2.98500    3.01500    21.800     2.0000  2.0000     0.0  0.0  MERRILL 70       NP B18, 403
 14   3.98000    3.58200    4.37800    20.500     0.90000 0.90000    0.0  0.0  COOK 61          PR 123, 320
 15   6.00000    5.89800    6.10200    21.900     0.40000 0.40000    1.4  1.4  GALBRAITH 65     PR 138, B913
 16   6.65000    6.65000    6.65000    22.000     0.50000 0.50000    1.6  1.6  DENISOV 73       NP B65, 1
 17   8.00000    7.86400    8.13600    19.700     0.40000 0.40000    1.4  1.4  GALBRAITH 65     PR 138, B913
 18   10.00000   10.00000   10.00000   21.100     0.60000 0.60000    1.6  1.6  DENISOV 73       NP B65, 1
 19   10.00000   9.83000    10.17000   20.600     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 20   12.00000   11.79600   12.20400   20.200     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 21   13.30000   13.30000   13.30000   20.900     0.40000 0.40000    1.1  1.1  DENISOV 73       NP B65, 1
 22   14.00000   13.76200   14.23800   20.100     0.40000 0.40000    1.0  1.0  GALBRAITH 65     PR 138, B913
 23   15.00000   15.00000   15.00000   19.910     0.20000 0.20000    0.9  0.9  DENISOV 73       NP B65, 1
 24   16.00000   15.72800   16.27200   20.300     0.60000 0.60000    1.0  1.0  GALBRAITH 65     PR 138, B913
 25   18.00000   17.69400   18.30600   20.300     1.1000  1.1000     1.0  1.0  GALBRAITH 65     PR 138, B913
 26   20.00000   20.00000   20.00000   19.100     0.80000 0.80000    2.5  2.5  ALLABY 69        PL 30B, 500
 27   20.00000   20.00000   20.00000   19.850     0.15000 0.15000    0.9  0.9  DENISOV 73       NP B65, 1
 28   25.00000   25.00000   25.00000   19.700     0.60000 0.60000    2.5  2.5  ALLABY 69        PL 30B, 500
 29   25.00000   25.00000   25.00000   19.450     0.15000 0.15000    0.9  0.9  DENISOV 73       NP B65, 1
 30   30.00000   30.00000   30.00000   19.430     0.15000 0.15000    0.9  0.9  DENISOV 73       NP B65, 1
 31   30.00000   30.00000   30.00000   20.100     0.50000 0.50000    2.5  2.5  ALLABY 69        PL 30B, 500
 32   35.00000   35.00000   35.00000   19.900     0.50000 0.50000    2.5  2.5  ALLABY 69        PL 30B, 500
 33   35.00000   35.00000   35.00000   19.470     0.15000 0.15000    0.9  0.9  DENISOV 73       NP B65, 1
 34   35.00000   35.00000   35.00000   19.840     0.20000 0.20000    0.7  0.7  CARROLL 76       PL 61B, 303
 35   40.00000   40.00000   40.00000   19.400     0.50000 0.50000    2.5  2.5  ALLABY 69        PL 30B, 500
 36   40.00000   40.00000   40.00000   19.360     0.15000 0.15000    0.9  0.9  DENISOV 73       NP B65, 1
 37   45.00000   45.00000   45.00000   19.460     0.15000 0.15000    0.9  0.9  DENISOV 73       NP B65, 1
 38   45.00000   45.00000   45.00000   20.200     0.50000 0.50000    2.5  2.5  ALLABY 69        PL 30B, 500
 39   50.00000   50.00000   50.00000   19.750     0.18000 0.18000    0.7  0.7  CARROLL 74       PRL 33, 932
 40   50.00000   50.00000   50.00000   19.410     0.15000 0.15000    0.9  0.9  DENISOV 73       NP B65, 1
 41   50.00000   50.00000   50.00000   19.900     0.60000 0.60000    2.5  2.5  ALLABY 69        PL 30B, 500
 42   50.00000   50.00000   50.00000   19.860     0.16000 0.16000    0.7  0.7  CARROLL 76       PL 61B, 303
 43   55.00000   55.00000   55.00000   19.530     0.20000 0.20000    0.9  0.9  DENISOV 73       NP B65, 1
 44   55.00000   55.00000   55.00000   20.400     1.0000  1.0000     2.5  2.5  ALLABY 69        PL 30B, 500
 45   70.00000   70.00000   70.00000   19.830     8.0E-02 8.0E-02    0.7  0.7  CARROLL 76       PL 61B, 303
 46   100.00000  100.00000  100.00000  19.850     0.13000 0.13000    0.7  0.7  CARROLL 74       PRL 33, 932
 47   100.00000  100.00000  100.00000  19.960     0.11000 0.11000    0.7  0.7  CARROLL 76       PL 61B, 303
