 FILE_NAME
 REACTION
 BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
 NUMBER_OF_DATA_POINTS
 POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
 -------------------------------------------------------------------------------------------------------
 PBARN_TOTAL.DAT
 PBAR N --> X
 0.938270    0.939570      0.            0
  45
 1    1.13456    1.10193    1.16682    119.00     8.0000  8.0000     0.0  0.0  ELIOFF 62        PR 128, 869
 2    1.34297    1.30251    1.38304    96.000     7.0000  7.0000     0.0  0.0  ELIOFF 62        PR 128, 869
 3    1.48227    1.43829    1.52588    112.00     8.0000  8.0000     0.0  0.0  ELIOFF 62        PR 128, 869
 4    1.63636    1.58776    1.68460    102.00     6.0000  6.0000     0.0  0.0  ELIOFF 62        PR 128, 869
 5    1.77335    1.72114    1.82523    109.00     4.0000  4.0000     0.0  0.0  ELIOFF 62        PR 128, 869
 6    3.50000    3.40000    3.60000    68.300     3.1000  3.1000     0.0  0.0  REYNOLDS 70C     PR D2, 1767
 7    5.55000    5.55000    5.55000    55.000     3.0000  3.0000     0.0  0.0  BRAUN 74D        PR D10, 3573
 8    6.00000    5.89800    6.10200    59.500     4.0000  4.0000     1.0  1.0  GALBRAITH 65     PR 138, B913
 9    6.65000    6.65000    6.65000    56.000     0.70000 0.70000    2.2  2.2  DENISOV 73       NP B65, 1
 10   8.00000    7.86400    8.13600    57.300     3.9000  3.9000     1.0  1.0  GALBRAITH 65     PR 138, B913
 11   10.00000   10.00000   10.00000   51.800     1.1000  1.1000     2.2  2.2  DENISOV 73       NP B65, 1
 12   12.00000   11.79600   12.20400   53.800     3.7000  3.7000     1.0  1.0  GALBRAITH 65     PR 138, B913
 13   13.30000   13.30000   13.30000   49.600     0.70000 0.70000    2.2  2.2  DENISOV 73       NP B65, 1
 14   14.00000   13.76200   14.23800   53.400     3.7000  3.7000     1.0  1.0  GALBRAITH 65     PR 138, B913
 15   15.00000   15.00000   15.00000   46.900     0.90000 0.90000    2.0  2.0  DENISOV 73       NP B65, 1
 16   16.00000   15.72800   16.27200   52.700     3.7000  3.7000     1.0  1.0  GALBRAITH 65     PR 138, B913
 17   18.00000   17.69400   18.30600   44.400     9.0000  9.0000     1.0  1.0  GALBRAITH 65     PR 138, B913
 18   20.00000   20.00000   20.00000   46.000     1.7000  1.7000     3.0  3.0  ALLABY 69        PL 30B, 500
 19   20.00000   20.00000   20.00000   46.200     0.50000 0.50000    2.0  2.0  DENISOV 73       NP B65, 1
 20   25.00000   25.00000   25.00000   45.300     1.1000  1.1000     3.0  3.0  ALLABY 69        PL 30B, 500
 21   25.00000   25.00000   25.00000   45.500     0.50000 0.50000    2.0  2.0  DENISOV 73       NP B65, 1
 22   30.00000   30.00000   30.00000   44.900     1.1000  1.1000     3.0  3.0  ALLABY 69        PL 30B, 500
 23   30.00000   30.00000   30.00000   45.000     0.50000 0.50000    2.0  2.0  DENISOV 73       NP B65, 1
 24   35.00000   35.00000   35.00000   45.900     1.2000  1.2000     3.0  3.0  ALLABY 69        PL 30B, 500
 25   35.00000   35.00000   35.00000   44.100     0.50000 0.50000    2.0  2.0  DENISOV 73       NP B65, 1
 26   35.00000   35.00000   35.00000   45.640     0.21000 0.21000    0.7  0.7  CARROLL 76       PL 61B, 303
 27   40.00000   40.00000   40.00000   42.300     0.50000 0.50000    2.0  2.0  DENISOV 73       NP B65, 1
 28   40.00000   40.00000   40.00000   43.200     1.1000  1.1000     3.0  3.0  ALLABY 69        PL 30B, 500
 29   45.00000   45.00000   45.00000   43.700     0.90000 0.90000    2.0  2.0  DENISOV 73       NP B65, 1
 30   45.00000   45.00000   45.00000   44.600     1.1000  1.1000     3.0  3.0  ALLABY 69        PL 30B, 500
 31   50.00000   50.00000   50.00000   43.880     0.21000 0.21000    0.7  0.7  CARROLL 76       PL 61B, 303
 32   50.00000   50.00000   50.00000   42.500     1.0000  1.0000     2.0  2.0  DENISOV 73       NP B65, 1
 33   50.00000   50.00000   50.00000   43.690     0.30000 0.30000    1.5  1.5  CARROLL 74       PRL 33, 928
 34   50.00000   50.00000   50.00000   44.100     1.2000  1.2000     3.0  3.0  ALLABY 69        PL 30B, 500
 35   70.00000   70.00000   70.00000   43.180     0.14000 0.14000    0.7  0.7  CARROLL 76       PL 61B, 303
 36   100.00000  100.00000  100.00000  42.260     0.16000 0.16000    0.7  0.7  CARROLL 76       PL 61B, 303
 37   100.00000  100.00000  100.00000  42.220     0.23000 0.23000    1.5  1.5  CARROLL 74       PRL 33, 928
 38   120.00000  120.00000  120.00000  42.540     0.27000 0.27000    0.7  0.7  CARROLL 76       PL 61B, 303
 39   150.00000  150.00000  150.00000  41.440     0.33000 0.33000    0.7  0.7  CARROLL 76       PL 61B, 303
 40   150.00000  150.00000  150.00000  41.320     0.44000 0.44000    1.5  1.5  CARROLL 74       PRL 33, 928
 41   170.00000  170.00000  170.00000  41.690     0.31000 0.31000    0.7  0.7  CARROLL 76       PL 61B, 303
 42   200.00000  200.00000  200.00000  42.090     0.71000 0.71000    1.5  1.5  CARROLL 74       PRL 33, 928
 43   200.00000  200.00000  200.00000  41.620     0.23000 0.23000    0.7  0.7  CARROLL 79       PL 80B, 423
 44   240.00000  240.00000  240.00000  41.390     0.39000 0.39000    0.7  0.7  CARROLL 79       PL 80B, 423
 45   280.00000  280.00000  280.00000  41.300     0.38000 0.38000    0.7  0.7  CARROLL 79       PL 80B, 423
