# muon-neutrino flux for Booster Neutrino Beam (e.g. MicroBooNE),
# from A. Schukraft, FNAL, Dec. 2015
#Enu [GeV]	Flux [number of neutrinos per 10^20 POT/cm^2/bin]
0.025	3.0431e+08
0.075	1.15704e+09
0.125	1.49321e+09
0.175	1.7948e+09
0.225	2.2408e+09
0.275	2.44911e+09
0.325	2.62283e+09
0.375	2.74591e+09
0.425	2.8747e+09
0.475	3.0268e+09
0.525	3.07706e+09
0.575	3.07989e+09
0.625	3.06333e+09
0.675	3.03448e+09
0.725	2.9933e+09
0.775	2.92646e+09
0.825	2.81029e+09
0.875	2.69761e+09
0.925	2.57684e+09
0.975	2.44448e+09
1.025	2.31083e+09
1.075	2.16185e+09
1.125	2.0089e+09
1.175	1.86357e+09
1.225	1.72907e+09
1.275	1.57738e+09
1.325	1.42731e+09
1.375	1.2793e+09
1.425	1.12947e+09
1.475	9.88135e+08
1.525	8.59386e+08
1.575	7.38203e+08
1.625	6.26651e+08
1.675	5.28255e+08
1.725	4.45319e+08
1.775	3.69309e+08
1.825	3.04959e+08
1.875	2.50899e+08
1.925	2.04983e+08
1.975	1.65347e+08
2.025	1.32956e+08
2.075	1.09577e+08
2.125	8.99581e+07
2.175	7.40952e+07
2.225	6.24727e+07
2.275	5.36501e+07
2.325	4.67192e+07
2.375	4.10184e+07
2.425	3.68798e+07
2.475	3.32191e+07
2.525	3.16363e+07
2.575	2.92691e+07
2.625	2.81228e+07
2.675	2.6146e+07
2.725	2.58341e+07
2.775	2.51853e+07
2.825	2.42844e+07
2.875	2.26302e+07
2.925	2.20621e+07
2.975	2.09587e+07
3.025	2.0996e+07
3.075	2.00177e+07
3.125	2.01547e+07
3.175	1.89857e+07
3.225	1.81728e+07
3.275	1.73214e+07
3.325	1.69487e+07
3.375	1.67403e+07
3.425	1.56792e+07
3.475	1.51853e+07
3.525	1.51334e+07
3.575	1.44661e+07
3.625	1.40452e+07
3.675	1.33985e+07
3.725	1.25011e+07
3.775	1.26127e+07
3.825	1.17234e+07
3.875	1.11609e+07
3.925	1.09322e+07
3.975	1.03942e+07
4.025	9.81246e+06
4.075	9.40724e+06
4.125	9.0447e+06
4.175	8.48146e+06
4.225	7.94918e+06
4.275	7.62642e+06
4.325	7.48749e+06
4.375	6.9033e+06
4.425	6.57945e+06
4.475	6.25179e+06
4.525	5.90647e+06
4.575	5.71901e+06
4.625	5.28553e+06
4.675	5.03403e+06
4.725	4.80956e+06
4.775	4.62005e+06
4.825	4.26754e+06
4.875	3.98549e+06
4.925	3.65949e+06
4.975	3.45265e+06
5.025	3.27357e+06
5.075	3.11813e+06
5.125	2.90803e+06
5.175	2.7149e+06
5.225	2.59184e+06
5.275	2.38949e+06
5.325	2.28983e+06
5.375	2.14583e+06
5.425	1.98083e+06
5.475	1.87042e+06
5.525	1.72681e+06
5.575	1.60269e+06
5.625	1.5014e+06
5.675	1.38289e+06
5.725	1.2932e+06
5.775	1.19385e+06
5.825	1.05895e+06
5.875	975416
5.925	890991
5.975	797478
6.025	718028
6.075	630971
6.125	570672
6.175	476682
6.225	422794
6.275	356176
6.325	291442
6.375	238221
6.425	195426
6.475	156177
6.525	115900
6.575	99416.2
6.625	73745.3
6.675	39699.4
6.725	24438.6
6.775	10002
6.825	3560.2
6.875	628.377
6.925	628.377
6.975	733.107
7.025	0
7.075	0
7.125	0
7.175	0
7.225	0
7.275	0
7.325	0
7.375	0
7.425	0
7.475	0
7.525	0
7.575	0
7.625	0
7.675	0
7.725	0
7.775	0
7.825	0
7.875	0
7.925	0
7.975	0
8.025	0
8.075	0
8.125	0
8.175	0
8.225	0
8.275	0
8.325	0
8.375	0
8.425	0
8.475	0
8.525	0
8.575	0
8.625	0
8.675	0
8.725	0
8.775	0
8.825	0
8.875	0
8.925	0
8.975	0
9.025	0
9.075	0
9.125	0
9.175	0
9.225	0
9.275	0
9.325	0
9.375	0
9.425	0
9.475	0
9.525	0
9.575	0
9.625	0
9.675	0
9.725	0
9.775	0
9.825	0
9.875	0
9.925	0
9.975	0
