# Lieber Herr Buss,
#anbei die korrigierten DAPHNE Daten zu n pi0pi- ggf. zu zitieren als
#..Zabrodin et al.,...,P. Pedroni private communication.
#Bernd Krusche 
# 27/06/2006
#
#Egamma[MeV]   sigma[muB]   staterror[muB]
#
417.894 4.06985 1.41222
443.573 2.63766 0.951183
468.941 3.03806 0.758618
493.946 5.8751 0.705544
518.529 7.54454 0.651797
542.634 12.3824 0.689126
566.209 14.1891 0.683578
589.204 18.3186 0.753286
611.573 20.1594 0.772683
633.27 24.7953 0.864892
654.261 25.8286 0.901284
674.522 29.7889 0.976125
694.035 30.0085 0.984663
712.806 34.4823 1.09217
730.852 36.6436 1.17128
748.944 38.5297 1.19887
768.399 36.8157 1.05013
785.938 39.7546 1.23296
